,AAM (Approach-Avoidance),BDI (Beck Depression),BT (Bartle Types),CEST (Cognitive-Experiential),CMOA (Circumplex of Affect),CS (Clifton Strengths),DISC,DT4 (Dark Tetrad),DTM (Dark Triad),EM (Enneagram),EPM (Eysenck PEN),FFNI (Five-Factor Narcissism),FFNI-SF (Short Form),FSLS (Felder-Silverman Learning),FTM (Four Temperaments),GAD-7 (Anxiety),HEXACO,HSNS (Hypersensitive Narcissism),IPN (Interpersonal),MBTI,MCMI (Millon Clinical),MCMI-N (Narcissism),MMPI,MST (Motivational Systems),NARQ (Narcissistic Admiration/Rivalry),NPI (Narcissistic Personality),OCEAN (Big Five),PAPC,PCT (Personal Construct),PNI (Pathological Narcissism),RFT (Regulatory Focus),RIASEC (Holland Vocational),RIT (Rorschach Inkblot),SCID (DSM Structured Interview),SCM (Social-Cognitive),SDT (Self-Determination),16PF (Cattell),STBV (Schwartz Values),TAT (Thematic Apperception),TCI (Temperament & Character),TEI (Emotional Intelligence),TKI (Thomas-Kilmann Conflict),TMP (Triarchic Psychopathy),WAIS (Intelligence)
FFNI-SF (Short Form),0.5208433308810678,0.6155576900685193,0.49250947550389285,0.4820204613858521,0.4483280910308589,0.5526062419255523,0.5355577597864468,0.8177280111118536,0.8275419736663453,0.4776154956395426,0.6209031917886082,0.7984008090190988,1.0000000000000004,0.520605979014811,0.5790064709095364,0.4804462100492385,0.5834485894501568,0.7078834997319513,0.7872286415591445,0.5579356637534234,0.6523047582561082,0.7968039792406627,0.6991780663904774,0.5161118446978075,0.8746553506260049,0.8044146491397615,0.6488440794733584,0.3908069392184882,0.5744741147219148,0.7797382593922786,0.43670301912024906,0.563982864075631,0.3957088370666837,0.5352361640750141,0.6023498937683287,0.5686409184791205,0.656804699351491,0.6325267994388842,0.4768243057992979,0.6513245339745553,0.4611279237874876,0.39288739938531,0.6749338822924669,0.30883560585951514
FSLS (Felder-Silverman Learning),0.5726635812393115,0.6132088158554435,0.6563989872451484,0.7886921269687892,0.5569960767952989,0.8214796699074292,0.7310164514217914,0.5550319778945696,0.5458762475302229,0.5639567911054038,0.6725964709178817,0.7376101607388725,0.520605979014811,1.0000000000000004,0.662188409098822,0.5208486879240093,0.7036878826762127,0.5795532603340942,0.6547094757023338,0.8872584314070715,0.6009016676591726,0.7034346980181581,0.6604944344299908,0.6302308865434051,0.48486968993892143,0.6809070511429324,0.7743172710169766,0.5798212689117723,0.8142227220185931,0.6857456867782733,0.5982713041355603,0.8882698822906376,0.6949155065078059,0.5348687152399048,0.8205970210231028,0.7131573544283152,0.8306260150089205,0.720396861970275,0.4946361705322711,0.763196177185244,0.6301360917030873,0.47645922372261545,0.6258197606633251,0.6307325430297936
FTM (Four Temperaments),0.5649478207258789,0.7236151128705974,0.627982349903899,0.6021268161094121,0.6648719996766816,0.6606082291158901,0.6880207254186667,0.667571145301465,0.6537682366189226,0.6142530967436526,0.8185665236552967,0.7086731359299681,0.5790064709095364,0.662188409098822,1.0000000000000007,0.6156431786064601,0.7681241662591027,0.6206651352467655,0.6654913496438218,0.743045454899406,0.6700960668678317,0.6395539569667416,0.7780791141727101,0.6013034869940169,0.5543968004830945,0.6355818512763816,0.7953367166720444,0.5527753135277633,0.7158783715642867,0.6929872981597712,0.5378033283072635,0.7233774135479012,0.5351585234563567,0.5403135562124269,0.8042701303003799,0.6007143741576733,0.7985104116858412,0.6478218625958335,0.5174607880202355,0.7423691320437235,0.542084791372274,0.49796590563759957,0.7243529476970847,0.37800292260675394
GAD-7 (Anxiety),0.5643653507676788,0.7752604753209151,0.446900659479603,0.5003028573127695,0.5887816057091677,0.502021956048106,0.5042396524093978,0.4867182721667259,0.4726462337980438,0.47680368906003473,0.7065105687094373,0.6396500968770493,0.4804462100492385,0.5208486879240093,0.6156431786064601,1.0000000000000002,0.5853281679532684,0.6702990171442061,0.5965030761254537,0.5818536927089298,0.6414369329136154,0.5046282944089524,0.7610202720928512,0.6032978724777142,0.41320416618617056,0.5254302371928433,0.6447336774568895,0.4498228500700411,0.5873890510020006,0.6059078840917625,0.5000181196535083,0.5432680397087185,0.4327200178990379,0.6529577691099019,0.685193555199708,0.4636777202298511,0.6951341719175608,0.49739129873377586,0.41410443638041927,0.6188834271697103,0.44659114494438124,0.40663119805724557,0.6056486054575698,0.3476303548231262
HEXACO,0.6375978913315812,0.6804817567392681,0.6990486055267624,0.6438797831110724,0.6249047298596428,0.7345571088941932,0.7638245272319808,0.6311169029457158,0.6261322158071817,0.6087402991889868,0.8493664093002041,0.756804154807792,0.5834485894501568,0.7036878826762127,0.7681241662591027,0.5853281679532684,0.9999999999999991,0.6722831708945728,0.6791325785327763,0.8377483389406987,0.6536295494846279,0.7028470097788226,0.727271721238973,0.6409731610823053,0.5333384986077597,0.7082200304629975,0.9159057547802985,0.5842868641106731,0.8234285981138836,0.7134631920133978,0.640054973361445,0.8143829548057198,0.5452991883189197,0.5375351865633123,0.8064628174419908,0.7121919309504714,0.8734933709103704,0.7820274074759005,0.5395263702853943,0.8453360359506056,0.6296517887909024,0.5427014898617432,0.7581444326915993,0.4101359118933818
HSNS (Hypersensitive Narcissism),0.5710890439052155,0.7380296409453841,0.4959408723248923,0.5644848812292851,0.5283418838089378,0.5722292802004364,0.5807894238783399,0.677862840858909,0.6710449145249493,0.5470857116165738,0.7405828721019535,0.799135222050691,0.7078834997319513,0.5795532603340942,0.6206651352467655,0.6702990171442061,0.6722831708945728,1.000000000000001,0.7657272038812478,0.6588870630233985,0.6853074252433847,0.7251310267036204,0.7651454562085467,0.6284170310617551,0.6472983126292349,0.7345635812220006,0.7374464379764187,0.45047499131014446,0.6471281497534529,0.7830857502820854,0.5275102013876435,0.589609089596525,0.46134706475778137,0.6178515281177261,0.7120065513498277,0.5819746047050351,0.7414009631757574,0.6467626936213263,0.49674273037431577,0.6977609619764334,0.5298763836349963,0.49625259586464543,0.6748095838875738,0.35252089722712643
IPN (Interpersonal),0.6321525868040099,0.755368864441113,0.597435689972953,0.5891609818354209,0.5389175531202315,0.6760574311712529,0.6547428149951988,0.8032162295467434,0.7862172545968268,0.5618140053924289,0.704364684638052,0.9183132932717011,0.7872286415591445,0.6547094757023338,0.6654913496438218,0.5965030761254537,0.6791325785327763,0.7657272038812478,0.9999999999999998,0.6887185561696463,0.6845314111002744,0.836093055237491,0.7567758799890163,0.61084373494399,0.7241908221763164,0.8957764065627791,0.7432172696592511,0.4921967045489982,0.7002987170622568,0.9588173772768244,0.5424787281324592,0.7179319822081995,0.5346436543716295,0.5436900061406921,0.751057083153686,0.6514298190361948,0.789097476925424,0.7279919941868673,0.5920904535841489,0.779155962552271,0.5092275151281604,0.5045496026607984,0.7846580373661131,0.3789077332939053
MBTI,0.6325430635708099,0.6718082480373637,0.6948066640944148,0.7877924380404997,0.6006532730805163,0.820069336001028,0.7809420233033745,0.6128644659066553,0.6083275451925179,0.6195768533470062,0.8320153325338431,0.7559869096488441,0.5579356637534234,0.8872584314070715,0.743045454899406,0.5818536927089298,0.8377483389406987,0.6588870630233985,0.6887185561696463,1.0000000000000002,0.653174070910676,0.7073557039679358,0.7197942401208588,0.6702566545355372,0.5087122071952248,0.6912699074612303,0.8670515713945666,0.5883144289306819,0.8500578137941692,0.7152342892323477,0.6304756421180048,0.8846444750827558,0.657609650391929,0.5374700012291795,0.8406272138421319,0.7218262728706096,0.8744191600453872,0.7473007654346909,0.5180715987155645,0.8151141349964698,0.6617368347719921,0.51339572366143,0.6889474712552235,0.5524373484225767
MCMI (Millon Clinical),0.6060658907587279,0.7543372991393607,0.5201731171648138,0.5676450059415894,0.5198298275771728,0.5950336048096192,0.6365311996608762,0.7037152062507219,0.6849559562334737,0.581740977490023,0.7454881083384471,0.7365744131495289,0.6523047582561082,0.6009016676591726,0.6700960668678317,0.6414369329136154,0.6536295494846279,0.6853074252433847,0.6845314111002744,0.653174070910676,0.9999999999999993,0.6672109864013588,0.8305262935695307,0.6950124532902884,0.5740500188088973,0.6715788397656776,0.6900600379470719,0.5725488210896665,0.6587689221191542,0.7156724089343153,0.4768250521235507,0.6285560696960255,0.5528830156967025,0.7833026190420477,0.7257026541849871,0.5629319487851212,0.7046581960595709,0.61433197997161,0.5131746776676915,0.7099027054501538,0.5355220368032774,0.5152192165447359,0.6569751642317858,0.40696042206159777
MCMI-N (Narcissism),0.5734603190728531,0.6455386251120451,0.6284628915637933,0.6149392692372626,0.4836421331636653,0.7185545673730523,0.6856564703977153,0.7645243002582345,0.7623523593627409,0.5613197680037162,0.6817027163225492,0.8928048553729796,0.7968039792406627,0.7034346980181581,0.6395539569667416,0.5046282944089524,0.7028470097788226,0.7251310267036204,0.836093055237491,0.7073557039679358,0.6672109864013588,1.0000000000000004,0.7114500612846015,0.5889106441554283,0.7877931716132734,0.8963311635989187,0.7617296404933089,0.5066613889935546,0.7203711910054456,0.8491921810926881,0.5267451099636556,0.731629628681577,0.5063631452535725,0.5244860810410731,0.7561687393423772,0.6761739003371636,0.7777397946963748,0.7552473635991628,0.5395307280806261,0.7603997823278528,0.5622465975206878,0.48893125103662693,0.7166813769724043,0.441051868553661
MMPI,0.6354423010849926,0.8372958021502566,0.5737195575494817,0.6190135914723913,0.6283561696952307,0.6242715224843656,0.6405854755000886,0.7474444730410199,0.7284416069958976,0.5814107116986104,0.8431662388958565,0.8108440496759203,0.6991780663904774,0.6604944344299908,0.7780791141727101,0.7610202720928512,0.727271721238973,0.7651454562085467,0.7567758799890163,0.7197942401208588,0.8305262935695307,0.7114500612846015,1.0000000000000002,0.7058410002504374,0.6162995729503048,0.7190136907400267,0.7839922115233658,0.5608110831933822,0.7043830002661026,0.7884026855744796,0.5684224098272355,0.699906197237763,0.5242619415569466,0.7679352531475996,0.8085058440698347,0.5977354346194717,0.8125641914463543,0.6674745085595236,0.5181564842470111,0.7578812326969342,0.5434828177788579,0.49407268407121313,0.7616272349591185,0.42090325047819516
MST (Motivational Systems),0.6920387291229593,0.665011013000725,0.5120953820664822,0.7091443581948234,0.5641409736612538,0.6504320747791925,0.6368137938313334,0.5729992961306126,0.5523042203159605,0.5121210495875582,0.7040730791659684,0.6819216291059722,0.5161118446978075,0.6302308865434051,0.6013034869940169,0.6032978724777142,0.6409731610823053,0.6284170310617551,0.61084373494399,0.6702566545355372,0.6950124532902884,0.5889106441554283,0.7058410002504374,1.0000000000000002,0.46429903874543166,0.6085305073184396,0.6800392439568076,0.5281937579319121,0.7218658222942193,0.6536184196807344,0.5709264344083584,0.6538347015383511,0.4701042930885299,0.646932861804731,0.7680125413303327,0.6412552131887702,0.7138157575611005,0.6468746203177167,0.501592163868227,0.7231624176788771,0.6260164386163836,0.5374894600757909,0.6369096166003888,0.42718954593122155
NARQ (Narcissistic Admiration/Rivalry),0.48245030516567566,0.5482656193734063,0.5171496729588213,0.4195750100953051,0.4234494827486071,0.5584973763239781,0.5271736165738886,0.7500513349216054,0.7439518766094342,0.473238989645525,0.5708886755630206,0.7599614743185257,0.8746553506260049,0.48486968993892143,0.5543968004830945,0.41320416618617056,0.5333384986077597,0.6472983126292349,0.7241908221763164,0.5087122071952248,0.5740500188088973,0.7877931716132734,0.6162995729503048,0.46429903874543166,0.9999999999999997,0.7714962734902099,0.6056729890406337,0.35839088303267574,0.5441287003773142,0.7275295398788895,0.4118501896257257,0.5223491599692117,0.3579248085284321,0.4409933756293266,0.5845649664830864,0.5693044620948694,0.6077442852557791,0.6031651383866338,0.5149397319859128,0.6108910828235374,0.4416906663054747,0.4080843983374464,0.6073390707119753,0.30115861221227896
NPI (Narcissistic Personality),0.6230765406377169,0.6815316999348537,0.6173529160784165,0.5857559033977312,0.5029111594812263,0.7185619295486914,0.7158048309060878,0.7863638174802733,0.7754127108907028,0.5669278969724018,0.6802990246703613,0.9398266092793999,0.8044146491397615,0.6809070511429324,0.6355818512763816,0.5254302371928433,0.7082200304629975,0.7345635812220006,0.8957764065627791,0.6912699074612303,0.6715788397656776,0.8963311635989187,0.7190136907400267,0.6085305073184396,0.7714962734902099,1.0000000000000002,0.7467939634488698,0.5265020204524398,0.7332361241760242,0.8948080265013031,0.5861724797396662,0.7460741695860249,0.5254811644655316,0.5434677137929343,0.7330162521176912,0.729685609815198,0.8057541053192334,0.7978624310090193,0.5913302987464806,0.8075671660107924,0.5238573014467237,0.5050562814021711,0.7620151494210969,0.39940392795673
OCEAN (Big Five),0.6711752871892146,0.7134888144384302,0.7128375434505528,0.6945967519849763,0.6523147604706016,0.78694646235438,0.7898491582523223,0.6880420678299035,0.6870083026914444,0.6526363070121686,0.8734858838297327,0.8051649775000513,0.6488440794733584,0.7743172710169766,0.7953367166720444,0.6447336774568895,0.9159057547802985,0.7374464379764187,0.7432172696592511,0.8670515713945666,0.6900600379470719,0.7617296404933089,0.7839922115233658,0.6800392439568076,0.6056729890406337,0.7467939634488698,1.0000000000000009,0.5805371911766377,0.8439103630433432,0.757660384745487,0.6507368686738493,0.8573950924209494,0.5778464223551416,0.5728119681763968,0.86108840862295,0.7559621024224558,0.9114331980395121,0.8133697352499923,0.5529347823317385,0.8726929170300904,0.641364671109799,0.5640167729303619,0.7801700839808761,0.4880771341466695
PAPC,0.4630613006023945,0.5373603736677149,0.631412890262186,0.5104467760495142,0.5929329883987968,0.5691529771546631,0.6524706861893655,0.4262863527117668,0.422979190928915,0.5870577596093103,0.566938278171208,0.5517607008991902,0.3908069392184882,0.5798212689117723,0.5527753135277633,0.4498228500700411,0.5842868641106731,0.45047499131014446,0.4921967045489982,0.5883144289306819,0.5725488210896665,0.5066613889935546,0.5608110831933822,0.5281937579319121,0.35839088303267574,0.5265020204524398,0.5805371911766377,1.0000000000000002,0.6859309974088745,0.5198559679441418,0.5035641031851906,0.6096098184868616,0.609834077534381,0.5229267161852326,0.6277161478485007,0.5858543138381349,0.6228748784029329,0.5676395197193694,0.4414287606940837,0.5756612774846425,0.6034497678176899,0.3433170947302197,0.5006633075348899,0.4642689325785455
PCT (Personal Construct),0.6870194721188698,0.684047771543734,0.6876869215194008,0.7113901622170443,0.5978576527140406,0.8777326832780616,0.8440036457780314,0.5995422354774455,0.5962538716347271,0.5688283146964274,0.776703426914925,0.7777533844371224,0.5744741147219148,0.8142227220185931,0.7158783715642867,0.5873890510020006,0.8234285981138836,0.6471281497534529,0.7002987170622568,0.8500578137941692,0.6587689221191542,0.7203711910054456,0.7043830002661026,0.7218658222942193,0.5441287003773142,0.7332361241760242,0.8439103630433432,0.6859309974088745,0.9999999999999982,0.7439378475631582,0.7258088630230252,0.8710696115077515,0.6255918448887012,0.5865573383003736,0.8564249644223171,0.8509089629524944,0.8739457867144033,0.8634615074481042,0.6053108865223384,0.8654915367778828,0.7097034811022964,0.5835216453705268,0.6860659642428115,0.5302533044103707
PNI (Pathological Narcissism),0.6611241726735546,0.8022182075926523,0.6008999411572256,0.6069446171854256,0.5530807844898574,0.7106686237895811,0.676100244877997,0.7929020386310235,0.7682294817565191,0.5632402287392373,0.7319313602318804,0.949927831854499,0.7797382593922786,0.6857456867782733,0.6929872981597712,0.6059078840917625,0.7134631920133978,0.7830857502820854,0.9588173772768244,0.7152342892323477,0.7156724089343153,0.8491921810926881,0.7884026855744796,0.6536184196807344,0.7275295398788895,0.8948080265013031,0.757660384745487,0.5198559679441418,0.7439378475631582,0.9999999999999997,0.5688484980215971,0.7389625045925328,0.5615222060041014,0.5804817075773692,0.7882173184662389,0.6842099199257049,0.8214081509944773,0.7842724826051773,0.6114739306725647,0.8226248389655784,0.5482557720437476,0.5412880001182712,0.7947388817292433,0.39767903323491294
RFT (Regulatory Focus),0.6655260999053078,0.5204824766321203,0.5817814715369363,0.4858507257691437,0.5083474803749528,0.6849620000981134,0.6659928250968985,0.445695313433338,0.4506416152272041,0.4548485492972697,0.5886167662527382,0.6080086012097634,0.43670301912024906,0.5982713041355603,0.5378033283072635,0.5000181196535083,0.640054973361445,0.5275102013876435,0.5424787281324592,0.6304756421180048,0.4768250521235507,0.5267451099636556,0.5684224098272355,0.5709264344083584,0.4118501896257257,0.5861724797396662,0.6507368686738493,0.5035641031851906,0.7258088630230252,0.5688484980215971,0.9999999999999996,0.6395541434682942,0.47060662247371865,0.4530629443244033,0.6331912845744624,0.5959667124575111,0.6989886349614893,0.6593312094555986,0.481361677389024,0.6790333329455756,0.45426779787421206,0.41977188081870637,0.5594653632824923,0.4007663630660436
