,AAM (Approach-Avoidance),BDI (Beck Depression),BT (Bartle Types),CEST (Cognitive-Experiential),CMOA (Circumplex of Affect),CS (Clifton Strengths),DISC,DT4 (Dark Tetrad),DTM (Dark Triad),EM (Enneagram),EPM (Eysenck PEN),FFNI (Five-Factor Narcissism),FFNI-SF (Short Form),FSLS (Felder-Silverman Learning),FTM (Four Temperaments),GAD-7 (Anxiety),HEXACO,HSNS (Hypersensitive Narcissism),IPN (Interpersonal),MBTI,MCMI (Millon Clinical),MCMI-N (Narcissism),MMPI,MST (Motivational Systems),NARQ (Narcissistic Admiration/Rivalry),NPI (Narcissistic Personality),OCEAN (Big Five),PAPC,PCT (Personal Construct),PNI (Pathological Narcissism),RFT (Regulatory Focus),RIASEC (Holland Vocational),RIT (Rorschach Inkblot),SCID (DSM Structured Interview),SCM (Social-Cognitive),SDT (Self-Determination),16PF (Cattell),STBV (Schwartz Values),TAT (Thematic Apperception),TCI (Temperament & Character),TEI (Emotional Intelligence),TKI (Thomas-Kilmann Conflict),TMP (Triarchic Psychopathy),WAIS (Intelligence)
EPM (Eysenck PEN),0.7430001348463977,0.8563721075038307,0.8707164379570149,0.8107503728731861,0.8551155857724468,0.8186815549110874,0.8204983123267032,0.8202995194873578,0.8180430971126766,0.8370873642533331,0.9999999999999998,0.8703773047939353,0.7923812924106316,0.7987617664104663,0.9397379060612342,0.7992347246854463,0.9217691924977708,0.8558297833639544,0.8424011872039111,0.8975999176416187,0.7813888567837742,0.7905556375980786,0.93260399641704,0.733543943210916,0.8285178161462523,0.8184880049756927,0.9247401158072582,0.6222434706969007,0.8151953345995145,0.8886693979207244,0.7468736996641578,0.8805285753438992,0.6552595680362032,0.5457307842892327,0.9430738043402225,0.6920604796397353,0.9442197835332604,0.7323731277705233,0.4737226576168975,0.9322200140099327,0.563049931650982,0.5730824645301965,0.8899234693249245,0.5216597217190766
FFNI (Five-Factor Narcissism),0.7680123826909863,0.8586705929287906,0.8518397538270084,0.7840533474704866,0.7342397941361607,0.8169279707185224,0.81527039246299,0.8959510224743228,0.895172713556358,0.8755670999428875,0.8703773047939353,1.0000000000000013,0.8975512368832091,0.7902487663625054,0.8577379508154074,0.7438665515144854,0.831546896393212,0.8907117019548387,0.938633980018719,0.8433830158450613,0.7979277981587873,0.9395348683524835,0.9052581109518778,0.736845294751832,0.9215063093157936,0.9591405441647912,0.8646237914146303,0.5798839353610451,0.786548326593384,0.9597648397554662,0.7268119164400649,0.8281309394998471,0.6149328985938043,0.5260111578666876,0.8645330057137515,0.7267687836020059,0.9053266670862005,0.7460050730802401,0.5222267104367727,0.8838504074858472,0.5804105012809642,0.5804732899329248,0.8897138942570004,0.5537551647328524
FFNI-SF (Short Form),0.7381265336284271,0.7834018717409381,0.7726188654217833,0.6907896833999346,0.6711396678786753,0.7430353138098543,0.7363280716752737,0.8898155144683619,0.8731516712910337,0.8366072515835569,0.7923812924106316,0.8975512368832091,1.0000000000000002,0.6801368293283392,0.75154491140051,0.697152468405998,0.7511356763997697,0.8463870560510122,0.8953078346510619,0.7433179942265662,0.8040551603394419,0.8782963197616378,0.8411754694475257,0.788964893775025,0.861301256920378,0.8837196549720535,0.7769768226539923,0.5726057612236325,0.7359730483785168,0.895129845842785,0.7251335033600702,0.7348608357469567,0.5418215304789915,0.5617760639051723,0.7774693973370025,0.7149189280056257,0.8084228147445045,0.7608785504204671,0.5220152776697355,0.7941508409359885,0.5867643263153758,0.5642791995964909,0.8599182224724478,0.5007586031320285
FSLS (Felder-Silverman Learning),0.6885443485065197,0.6916486193904688,0.8663731055932725,0.9193455251316003,0.7209089507923229,0.9159250977967544,0.8593810365565706,0.7004285722569619,0.7070415039500579,0.8018934721552845,0.7987617664104663,0.7902487663625054,0.6801368293283392,1.000000000000001,0.8831612052567407,0.6346033975373544,0.8201643049731964,0.6854219343834961,0.744130931602565,0.945431417952009,0.6656422245623346,0.7190175583224298,0.7884160547187787,0.6788825464928707,0.7344643837764253,0.7521838989639443,0.8693076255333354,0.640008188697478,0.8563502342566414,0.7902475895384423,0.7348992957611863,0.9381838532427342,0.7446793010322563,0.48557431052409483,0.8673704873467022,0.7580143441259352,0.8791325461261267,0.7534178113867525,0.4539677630896864,0.8377517820502917,0.5849573840036907,0.5127311278791562,0.7308598275683843,0.7361683608877378
FTM (Four Temperaments),0.7610614277803124,0.7798843244042729,0.9053527058280463,0.8707432430623171,0.8217701181577167,0.8925121438263586,0.8956674767749135,0.7714981859152384,0.7772364745792631,0.8336487635744845,0.9397379060612342,0.8577379508154074,0.75154491140051,0.8831612052567407,0.9999999999999991,0.7211839177416495,0.9205144109030317,0.794268897382895,0.8051406359600211,0.9576704839150803,0.7330837356431418,0.7855932041891472,0.8818275714666873,0.7262998364849198,0.8064286965944675,0.825075366706482,0.9393522529655526,0.6502913035310944,0.8673395550077901,0.8566933703124635,0.7640145760803864,0.9415833682051443,0.6695438416683109,0.5015287564487394,0.9396493164952668,0.7459056555233604,0.9485105671120009,0.7626344123748889,0.4798304935149371,0.9461075130625205,0.5889481286368985,0.5819941555500402,0.8410492964371444,0.585081976518857
GAD-7 (Anxiety),0.7252556331169577,0.8351833410460766,0.6825080805292251,0.6683407965386843,0.7295960765516405,0.6490777665892322,0.6289317914016419,0.6724365570531605,0.6768273727319223,0.757500850856477,0.7992347246854463,0.7438665515144854,0.697152468405998,0.6346033975373544,0.7211839177416495,0.9999999999999999,0.721381573062615,0.801935894083528,0.7178378708803576,0.6803910488970217,0.7715322171652778,0.6184400623342685,0.8706627476978354,0.7317916810587664,0.6475379510687397,0.6462812531462968,0.755687039446651,0.5372242905480034,0.6686903431079297,0.7488344079412177,0.6880512407714792,0.6731351856451577,0.5474374302725298,0.6305641806278199,0.7675834655026216,0.5355009542152861,0.7590053535258195,0.5884746470048511,0.41571197791803677,0.7456025181498787,0.5106385394616789,0.4375364371568817,0.7351745571742602,0.4724258655476549
HEXACO,0.7541040014960013,0.7854588561358073,0.8897504484333236,0.7996235480141174,0.814147146022169,0.8418728005604764,0.840864139861459,0.7833661616165445,0.7742890142366846,0.8310596734391851,0.9217691924977708,0.831546896393212,0.7511356763997697,0.8201643049731964,0.9205144109030317,0.721381573062615,0.9999999999999996,0.786403453941196,0.8001999239972063,0.9173513833049227,0.7043679523213315,0.7711570097456356,0.8715662013561897,0.6971012847188531,0.8069662668527354,0.7825002660003227,0.9542771956738558,0.6142731207324903,0.8278440777329915,0.8522904728468658,0.7849543832223657,0.9141994906778507,0.6593041568200037,0.48436601065947277,0.905794370610259,0.7158939882027807,0.9496651128147066,0.7589770625363464,0.44034801289438835,0.9541339831045165,0.5269647455379124,0.5071502185937489,0.8556200634101568,0.5394233281796614
HSNS (Hypersensitive Narcissism),0.7171818793523801,0.8644126768687049,0.759091015004343,0.7201213301254604,0.7387994945598862,0.7095727738693212,0.7276240943861287,0.8290496021130386,0.8212236309218757,0.7976204610852572,0.8558297833639544,0.8907117019548387,0.8463870560510122,0.6854219343834961,0.794268897382895,0.801935894083528,0.786403453941196,1.0000000000000009,0.8848076002188742,0.7622302374303582,0.8293808273625465,0.8148986345463646,0.9085730600470462,0.7462045869865678,0.8209297219832353,0.8329803612948266,0.8117744296930159,0.5655080230914395,0.7068781744524004,0.9155439913207806,0.65880507876943,0.7405031392581436,0.5596057524535031,0.5740298837478132,0.8285530047993747,0.6143567321156642,0.8414792747280765,0.6329668429971841,0.450767460009035,0.8289161842296673,0.5550648464346503,0.5523485541901106,0.8307621394221794,0.4625933672615509
IPN (Interpersonal),0.7039142442650609,0.8280704718769758,0.8220172736546507,0.7351466811257381,0.6982756778196146,0.7530977923294983,0.7523846599420749,0.9267071906634948,0.9307013379405227,0.825195787541173,0.8424011872039111,0.938633980018719,0.8953078346510619,0.744130931602565,0.8051406359600211,0.7178378708803576,0.8001999239972063,0.8848076002188742,0.9999999999999992,0.8034540944626815,0.7751067491981948,0.9161861571230476,0.8734315638936924,0.6773298391649959,0.9073673932753817,0.9113470441586007,0.8352287199518678,0.5275063266807302,0.7208049019721339,0.9627479646575517,0.6646167966345308,0.7867828607403813,0.5830097017026219,0.48448462092443334,0.8282550839573621,0.6357185921416779,0.8665889766047158,0.6803416741201227,0.49344044028394757,0.8394657669191643,0.5125253356977487,0.5498505802453266,0.8897312478279562,0.5011045835286763
MBTI,0.7399547995127564,0.752849858335039,0.9212931779610242,0.9134029887776521,0.7851427877999125,0.917105863561153,0.8886913608224211,0.7723741605359897,0.7740663162895082,0.8378144748406988,0.8975999176416187,0.8433830158450613,0.7433179942265662,0.945431417952009,0.9576704839150803,0.6803910488970217,0.9173513833049227,0.7622302374303582,0.8034540944626815,0.9999999999999994,0.69897311982903,0.779473301348297,0.8557854120348543,0.707959447991629,0.8007001349125058,0.8099134331210225,0.9456924597358646,0.6216376695347812,0.8739664571198392,0.8522934713577162,0.7757648295431997,0.969461334093463,0.6995984075140329,0.47866684477825183,0.9295547578040523,0.7569131921883157,0.9530488858815257,0.7738524719526206,0.4668594604966475,0.9331225011658142,0.588807047456988,0.5599494090662814,0.8228901219954181,0.6314717043768714
